alpha,filter,flux,lh,logg,meta,teff,vtur,wavelength
0,Liverpool/IOO.SDSS-r,6112845.6628887,1.25,3.5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6111282.3099539,1.25,4,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6128223.1819266,1.25,4.5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,6160802.8215538,1.25,5,-0.5,5500,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7880024.7697109,1.25,0,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7778177.0682733,1.25,0.5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7691902.6447322,1.25,1,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7609142.3950798,1.25,1.5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7531292.9292565,1.25,2,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7462971.4761954,1.25,2.5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7407929.8316746,1.25,3,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7369608.0627678,1.25,3.5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7356486.9725724,1.25,4,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7367064.7268636,1.25,4.5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,7402513.5446258,1.25,5,-0.5,5750,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,9361199.0476248,1.25,0,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,9289605.4964097,1.25,0.5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,9198204.4383856,1.25,1,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,9099992.1629092,1.25,1.5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,9000536.6211361,1.25,2,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8904971.8478772,1.25,2.5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8819131.0883907,1.25,3,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8752786.0637292,1.25,3.5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8715318.836782,1.25,4,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8709124.8920594,1.25,4.5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,8738992.7345589,1.25,5,-0.5,6000,2,6120.6481623918
0,Liverpool/IOO.SDSS-r,10904128.273633,1.25,0.5,-0.5,6250,2,6120.6481623918
