atmosphere,feh,filter,flux,logg,teff,wavelength
Spectrum,0,Palomar/ZTF.g,23658076.811296,1.5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,23097115.943525,2,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,22536481.072006,2.5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,21966532.716045,3,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,21402829.16405,3.5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,20867445.865506,4,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,20393907.438657,4.5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,19983588.088877,5,6750,4746.4797383749
Spectrum,0,Palomar/ZTF.g,28950192.425793,0.5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,28944860.13564,1,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,28634678.831982,1.5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,27989673.246371,2,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,27219586.848861,2.5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,26463124.784415,3,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,25721548.9734,3.5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,25007524.0468,4,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,24351029.17984,4.5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,23779266.42038,5,7000,4746.4797383749
Spectrum,0,Palomar/ZTF.g,33941116.55968,0.5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,34170674.054579,1,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,33966436.113891,1.5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,33448708.008647,2,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,32547867.12123,2.5,7250,4746.4797383749
Spectrum,0,Palomar/ZTF.g,31551115.100827,3,7250,4746.4797383749
